mom,id,AP,n_loci
urb19,3567,44.44444444444444,9
urb19,3568,44.44444444444444,9
urb19,3569,44.44444444444444,9
urb19,3570,50,9
urb19,3571,44.44444444444444,9
urb19,3573,44.44444444444444,9
urb19,3574,50,9
urb19,3575,50,9
urb19,3576,50,9
urb19,3577,38.888888888888886,9
urb20,4146,50,9
urb20,4147,44.44444444444444,9
urb20,4148,43.75,8
urb20,4149,50,8
urb20,4150,56.25,8
urb20,4151,43.75,8
urb20,4152,62.5,8
urb20,4153,50,8
urb20,4154A,44.44444444444444,9
urb20,4154B,43.75,8
urb20,4155,50,8
urb20,4156,50,8
urb20,4157,50,8
urb20,4158,50,8
urb20,4159,50,8
urb20,4163,50,9
urb21,3586,44.44444444444444,9
urb21,3588,50,9
urb21,3589,61.111111111111114,9
urb21,3590,44.44444444444444,9
urb21,3592,50,9
urb21,3593,50,9
urb21,3594,44.44444444444444,9
urb21,3595,44.44444444444444,9
urb21,3598,38.888888888888886,9
urb21,3600,56.25,8
urb21,3601,55.55555555555556,9
urb21,3602,44.44444444444444,9
urb21,3603,44.44444444444444,9
urb21,3604,44.44444444444444,9
urb21,3605,50,9
urb22,4801,61.111111111111114,9
urb22,4806A,72.22222222222223,9
urb22,4806B,56.25,8
urb22,4808,61.111111111111114,9
urb22,4809A,44.44444444444444,9
urb22,4809B,50,9
urb22,4810,44.44444444444444,9
urb22,4811,50,9
urb22,4814,44.44444444444444,9
urb22,4815,44.44444444444444,9
urb22,4817,44.44444444444444,9
urb22,4818,50,9
urb22,4819,56.25,8
urb22,4820,50,9
urb22,4821,50,9
urb22,4822,50,9
urb23,132,44.44444444444444,9
urb23,143,33.333333333333336,9
urb23,144,44.44444444444444,9
urb23,178,50,9
urb23,228,38.888888888888886,9
urb23,24,44.44444444444444,9
urb23,29,50,9
urb23,313,57.142857142857146,7
urb23,316,42.857142857142854,7
urb23,418,50,9
urb23,528,44.44444444444444,9
urb23,542,43.75,8
urb23,58,61.111111111111114,9
urb23,601,50,7
urb23,604,37.5,8
urb23,645,50,7
urb23,81,44.44444444444444,9
urb24,133,50,7
urb24,160,44.44444444444444,9
urb24,169,50,6
urb24,209,50,9
urb24,234,57.142857142857146,7
urb24,248,43.75,8
urb24,284,56.25,8
urb24,431,55.55555555555556,9
urb24,449,50,8
urb24,516,38.888888888888886,9
urb24,585,62.5,8
urb24,60,44.44444444444444,9
urb24,628,50,9
urb24,96,55.55555555555556,9
urb25,131,55.55555555555556,9
urb25,192,37.5,8
urb25,198,50,9
urb25,335,37.5,8
urb25,344,50,9
urb25,348,37.5,8
urb25,371,44.44444444444444,9
urb25,374,37.5,8
urb25,403,50,9
urb25,412,50,9
urb25,415,44.44444444444444,9
urb25,442,42.857142857142854,7
urb25,452,50,9
urb25,478,44.44444444444444,9
urb25,486,33.333333333333336,9
urb25,518,37.5,8
